name,time,addr,device,mean,rssi,
rssi,1675253060511979000,d74adea29cf7,rasp0,-59,-59,
rssi,1675253061019319000,d74adea29cf7,rasp0,-57,-55,
rssi,1675253061473271000,d74adea29cf7,rasp0,-56.66666667,-56,
rssi,1675253062486480000,d74adea29cf7,rasp0,-59.25,-67,
rssi,1675253062989195000,d74adea29cf7,rasp0,-58.6,-56,
rssi,1675253063497761000,d74adea29cf7,rasp0,-58.5,-58,
rssi,1675253064025386000,d74adea29cf7,rasp0,-59.42857143,-65,
rssi,1675253064514313000,d74adea29cf7,rasp0,-59.25,-58,
rssi,1675253065032442000,d74adea29cf7,rasp0,-60.33333333,-69,
rssi,1675253066022899000,d74adea29cf7,rasp0,-60.7,-64,
rssi,1675253066981235000,d74adea29cf7,rasp0,-60.7,-59,
rssi,1675253067597654000,d74adea29cf7,rasp0,-61.1,-59,
rssi,1675253068000824000,d74adea29cf7,rasp0,-61.2,-57,
rssi,1675253069009808000,d74adea29cf7,rasp0,-60.7,-62,
rssi,1675253069506134000,d74adea29cf7,rasp0,-61.4,-63,
rssi,1675253070005011000,d74adea29cf7,rasp0,-61.9,-63,
rssi,1675253070499415000,d74adea29cf7,rasp0,-61.9,-65,
rssi,1675253071453583000,d74adea29cf7,rasp0,-62,-59,
rssi,1675253072227348000,d74adea29cf7,rasp0,-60.9,-58,
rssi,1675253072454675000,d74adea29cf7,rasp0,-60.9,-64,
rssi,1675253073465231000,d74adea29cf7,rasp0,-61.7,-67,
rssi,1675253073966864000,d74adea29cf7,rasp0,-62.3,-65,
rssi,1675253074474177000,d74adea29cf7,rasp0,-63.3,-67,
rssi,1675253074970777000,d74adea29cf7,rasp0,-63.7,-66,
rssi,1675253075542883000,d74adea29cf7,rasp0,-63.2,-58,
rssi,1675253076922283000,d74adea29cf7,rasp0,-62.9,-60,
rssi,1675253077424288000,d74adea29cf7,rasp0,-62.5,-61,
rssi,1675253077926896000,d74adea29cf7,rasp0,-63.3,-67,
rssi,1675253078428221000,d74adea29cf7,rasp0,-63.7,-62,
rssi,1675253079493902000,d74adea29cf7,rasp0,-62.6,-53,
rssi,1675253079940426000,d74adea29cf7,rasp0,-62.8,-69,
rssi,1675253080943682000,d74adea29cf7,rasp0,-61.6,-53,
rssi,1675253081907357000,d74adea29cf7,rasp0,-60.7,-58,
rssi,1675253082410749000,d74adea29cf7,rasp0,-59.5,-54,
rssi,1675253083413795000,d74adea29cf7,rasp0,-59.2,-55,
rssi,1675253083959888000,d74adea29cf7,rasp0,-59,-58,
rssi,1675253084927016000,d74adea29cf7,rasp0,-58.4,-55,
rssi,1675253085433892000,d74adea29cf7,rasp0,-57.3,-56,
rssi,1675253085934557000,d74adea29cf7,rasp0,-56.5,-54,
rssi,1675253086875129000,d74adea29cf7,rasp0,-57.2,-60,
rssi,1675253087877924000,d74adea29cf7,rasp0,-55.8,-55,
rssi,1675253088377686000,d74adea29cf7,rasp0,-55.9,-54,
rssi,1675253089384787000,d74adea29cf7,rasp0,-56.9,-68,
rssi,1675253089890484000,d74adea29cf7,rasp0,-57.3,-58,
rssi,1675253090390127000,d74adea29cf7,rasp0,-57.8,-60,
