name,time,addr,device,mean,rssi,
rssi,1675253514838926000,d74adea29cf7,rasp0,-66.2,-68,
rssi,1675253515341468000,d74adea29cf7,rasp0,-65.8,-59,
rssi,1675253515844855000,d74adea29cf7,rasp0,-65.1,-64,
rssi,1675253516818381000,d74adea29cf7,rasp0,-65.7,-66,
rssi,1675253517319402000,d74adea29cf7,rasp0,-64.7,-60,
rssi,1675253518327254000,d74adea29cf7,rasp0,-63.6,-63,
rssi,1675253518833291000,d74adea29cf7,rasp0,-63.6,-60,
rssi,1675253519866002000,d74adea29cf7,rasp0,-63.1,-63,
rssi,1675253520414468000,d74adea29cf7,rasp0,-62.1,-59,
rssi,1675253520993322000,d74adea29cf7,rasp0,-64.3,-81,
rssi,1675253521316610000,d74adea29cf7,rasp0,-65.3,-78,
rssi,1675253521816411000,d74adea29cf7,rasp0,-67.3,-79,
rssi,1675253525347373000,d74adea29cf7,rasp0,-67.8,-69,
rssi,1675253525847378000,d74adea29cf7,rasp0,-69.7,-85,
rssi,1675253526815049000,d74adea29cf7,rasp0,-69.5,-58,
rssi,1675253527320351000,d74adea29cf7,rasp0,-70,-68,
rssi,1675253527821710000,d74adea29cf7,rasp0,-70.1,-61,
rssi,1675253528836745000,d74adea29cf7,rasp0,-70.8,-70,
rssi,1675253529346605000,d74adea29cf7,rasp0,-71,-61,
rssi,1675253529846734000,d74adea29cf7,rasp0,-69.4,-65,
rssi,1675253531815318000,d74adea29cf7,rasp0,-68,-64,
rssi,1675253532557316000,d74adea29cf7,rasp0,-66.2,-61,
rssi,1675253532825609000,d74adea29cf7,rasp0,-65.5,-62,
rssi,1675253533843507000,d74adea29cf7,rasp0,-63.3,-63,
rssi,1675253535016045000,d74adea29cf7,rasp0,-63.7,-62,
rssi,1675253535861984000,d74adea29cf7,rasp0,-63.7,-68,
rssi,1675253537313976000,d74adea29cf7,rasp0,-63.7,-61,
rssi,1675253538326519000,d74adea29cf7,rasp0,-62.7,-60,
rssi,1675253538833754000,d74adea29cf7,rasp0,-63.5,-69,
rssi,1675253539901852000,d74adea29cf7,rasp0,-62.8,-58,
rssi,1675253541304793000,d74adea29cf7,rasp0,-63.1,-67,
rssi,1675253541886260000,d74adea29cf7,rasp0,-63.9,-69,
rssi,1675253542432957000,d74adea29cf7,rasp0,-64.5,-68,
rssi,1675253543317647000,d74adea29cf7,rasp0,-64.2,-60,
rssi,1675253543821121000,d74adea29cf7,rasp0,-65.4,-74,
rssi,1675253544326270000,d74adea29cf7,rasp0,-64.9,-63,
rssi,1675253545334823000,d74adea29cf7,rasp0,-64.8,-60,
rssi,1675253545841139000,d74adea29cf7,rasp0,-65.9,-71,
rssi,1675253547815414000,d74adea29cf7,rasp0,-66.2,-72,
rssi,1675253549842439000,d74adea29cf7,rasp0,-66.5,-61,
rssi,1675253550333770000,d74adea29cf7,rasp0,-66.6,-68,
rssi,1675253551305035000,d74adea29cf7,rasp0,-67,-73,
rssi,1675253551810771000,d74adea29cf7,rasp0,-66.5,-63,
rssi,1675253552319724000,d74adea29cf7,rasp0,-67.5,-70,
rssi,1675253553314674000,d74adea29cf7,rasp0,-67.6,-75,
